paper_id,number_terms
conf_trec_GurulingappaMHFGH11a,8
conf_trec_GurulingappaMKMHFF09,6
conf_trec_GurulingappaMKMHFF10,10
conf_trec_HagenGKAOS15,5
conf_trec_HagenPBGHS12,5
conf_trec_HanCKSLR04,5
conf_trec_HannahMPHO07,7
conf_trec_HarabagiuMCBHW05,4
conf_trec_HarperMLKWW04,7
conf_trec_HasanainAE13,5
conf_trec_HashemiK14,9
conf_trec_HauptmannJPNQHT01,4
conf_trec_HauptmannYQJCDCBLN02,5
conf_trec_HawkingBC99,6
conf_trec_HawkingVCB99,9
conf_trec_HeBHMRTW09,6
conf_trec_HeDOKK04,4
conf_trec_HeHBVC11,4
conf_trec_HeMOPS08,11
conf_trec_Hersh02,3
conf_trec_HershB03,7
conf_trec_HershCRR06,13
conf_trec_HershCRR07,13
conf_trec_HicklWBRSR06,9
conf_trec_HofmannJKRS07,5
conf_trec_HornPGL11,6
conf_trec_HovyGHJL00,4
conf_trec_HovyHL01,7
conf_trec_HuWMV15,11
conf_trec_HuXHY12,5
conf_trec_HuangCM05,4
conf_trec_HuangWFTX13,5
conf_trec_HubertCPTPS13,6
conf_trec_HullR99,3
conf_trec_HymanF10,4
conf_trec_IppolitoSMGSS15,10
conf_trec_JabeurDTPCB12,10
conf_trec_JaleelACDLLSW04,5
conf_trec_JaleelCLLWA03,5
conf_trec_JavaKFJM06,5
conf_trec_JiaY10,3
conf_trec_JiaYZ08,4
conf_trec_JiangGSZY15,6
conf_trec_JiangHZ06,6
conf_trec_JiangLL07,5
conf_trec_JijkounMMRST03,4
conf_trec_JinL14,6
conf_trec_JingujiLEMBEJNYZ06,8
conf_trec_JohnsonWJJ99,4
conf_trec_KaisserSW06,6
conf_trec_KampsKK10,4
conf_trec_KampsMR04,4
conf_trec_KampsMRS03,5
conf_trec_KanoulasDPSA09,6
conf_trec_KanoulasHCCS11,11
conf_trec_KarimiMGCSZ11,10
conf_trec_KatoLWY07,5
conf_trec_KatzBFFHKLLMMU04,6
conf_trec_KatzFMMSZAETW07,7
conf_trec_KatzMBBFLLLMSUW05,4
conf_trec_KatzMFLLMUMCRSLZ06,3
conf_trec_KayaalpAHITSDLMB03,14
conf_trec_KeikhaMGIPCC10,7
conf_trec_KeseljAC06,7
conf_trec_KeseljC04,8
conf_trec_KeseljMTWZ05,3
conf_trec_KhotZSNR13,2
conf_trec_KimYC12,6
conf_trec_KingWPZ11,11
conf_trec_KiselevaGLPBK14,4
conf_trec_KontostathisLS08,6
conf_trec_KoopmanZNVBB12,7
conf_trec_KosseimBKR06,7
conf_trec_KwokDDC02,5
conf_trec_KwokGC00,7
conf_trec_KwokGC99,7
conf_trec_KwokGDD05,5
conf_trec_KwokGSD04,7
conf_trec_LaRockMRLS14,6
conf_trec_LarkeyACBW02,6
conf_trec_Larson99,5
conf_trec_LeeHC05,10
conf_trec_LeeJSL09,8
conf_trec_LeeLS07,16
conf_trec_LeeNKNJL08,6
conf_trec_LeeSJTL10,7
conf_trec_LeeSLJCLKCKAKK01,4
conf_trec_LeonardZLTCD10,4
conf_trec_LevelingGKJ12,7
conf_trec_LiA14,5
conf_trec_LiCXMXZZCLZJM09,5
conf_trec_LiEV11,3
conf_trec_LiH10,5
conf_trec_LiTAW09,4
conf_trec_LiWM13,3
conf_trec_LiXGGYLC12,5
conf_trec_LiZHHZ05,5
conf_trec_LiangQHFY12,3
conf_trec_LiaoCWLTXC07,7
conf_trec_LimsopathamMOMB11,3
conf_trec_LinADOWW05,10
conf_trec_LinC07,5
conf_trec_LinEWM09,5
conf_trec_LinFKMT02,4
conf_trec_LinN06,5
conf_trec_LiomaMPPHO06,7
conf_trec_Litkowski00,4
conf_trec_Litkowski02,8
conf_trec_Litkowski03,5
conf_trec_Litkowski04,15
conf_trec_Litkowski05,15
conf_trec_LiuCBB12,8
conf_trec_LiuN15,5
conf_trec_LiuYCCLX11,8
conf_trec_LiuYW02,5
conf_trec_LoL06,5
conf_trec_LoseySR15,13
conf_trec_LuJLHZ07,5
conf_trec_LupuPHZT09,8
conf_trec_LupuZHGFZFT11,7
conf_trec_LvFQFY14,8
conf_trec_LvZ05,6
conf_trec_MaHL14,7
conf_trec_MacFarlaneRM99,4
conf_trec_MacdonaldHPO05,6
conf_trec_MacdonaldOS09,10
conf_trec_MagniniNPT01,4
conf_trec_MaheshKD99,6
conf_trec_MartinezOA12,18
conf_trec_MayfieldMCPB01,4
conf_trec_McCreadieMOPS09,6
conf_trec_McCreadieVMOMMM15,3
conf_trec_McNameeMP00,4
conf_trec_MeijIAKR05,6
conf_trec_MejovaHFHAS09,5
conf_trec_Mihalcea02,5
conf_trec_MilneTP12,2
conf_trec_MoLK15,6
conf_trec_MoldovanBT06,5
conf_trec_MoldovanCB07,10
conf_trec_MollaG04,4
conf_trec_MollaZ05,5
conf_trec_MonzKR02,8
conf_trec_MonzR01,4
conf_trec_NakovSSH04,7
conf_trec_NegriKMC06,6
conf_trec_NellapatiPS12,5
conf_trec_Newby01,5
conf_trec_Newby02,5
conf_trec_Newby03,6
conf_trec_Newby99,7
conf_trec_NewbyFM09,7
conf_trec_NguyenF14,6
conf_trec_NiaGPWP13,11
conf_trec_NieHXLZJ15,5
conf_trec_NiuSLDLZH05,5
conf_trec_NunesRD08,5
conf_trec_NybergFMBHHKLLPS05,13
conf_trec_OardHTB08,14
conf_trec_OardWLS99,7
conf_trec_OgdenCLMNSS99,4
conf_trec_OgilvieC03,7
conf_trec_OsborneCSSWCMRA03,12
conf_trec_OunisMRMS06,9
conf_trec_PengBYT13,5
conf_trec_PerezMJ13,3
conf_trec_PirkolaL03,5
