paper_id,number_entities,year,ee,dblpkey,journal,title,type,entities_array
conf_trec_HofmannJKRS07,6,2007,http://trec.nist.gov/pubs/trec16/papers/uamsterdam-hofmann.qa.final.pdf,conf_trec_HofmannJKRS07,TREC,'The_University_of_Amsterdam_at_the_TREC_2007_QA_Track.',inproceedings,QA-as-XML-retrieval;MLTableLookup;TableLookup;Quartz;TREC;WebCLEF
conf_trec_RuizRFS00,6,2000,http://trec.nist.gov/pubs/trec9/papers/TextWise-TREC9.pdf,conf_trec_RuizRFS00,TREC,'CINDOR_TREC-9_English-Chinese_Evaluation.',inproceedings,Lnu.ltu;HowNet;SMART;WordNet;Xinhua;CINDOR
conf_trec_CrangleZCH04,6,2004,http://trec.nist.gov/pubs/trec13/papers/converspeech.geo.pdf,conf_trec_CrangleZCH04,TREC,'Concept_Extraction_and_Synonymy_Management_for_Biomedical_Information_Retrieval.',inproceedings,ConverSpeech;ConversAuto;ConversManu;LocusLink;TREC;PubMed
conf_trec_MeijIAKR05,6,2005,http://trec.nist.gov/pubs/trec14/papers/uamsterdam-infoinst.geo.pdf,conf_trec_MeijIAKR05,TREC,'Combining_Thesauri-Based_Methods_for_Biomedical_Retrieval.',inproceedings,MeSH;UMLS Metathesaurus for;Abstract;MEDLINE;CombSUM;Kraaij
conf_trec_Demner-FushmanAJLRLIAA11,6,2011,http://trec.nist.gov/pubs/trec20/papers/NLM.medical.pdf,conf_trec_Demner-FushmanAJLRLIAA11,TREC,'A_Knowledge-Based_Approach_to_Medical_Records_Retrieval.',inproceedings,MeSH;Lucene;PICO;RxNorm;UMLS;MetaMap
conf_trec_Larson99,6,1999,http://trec.nist.gov/pubs/trec8/papers/berkeley-interactive.pdf,conf_trec_Larson99,TREC,'Berkeley's_TREC_8_Interactive_Track_Entry:_Cheshire_II_and_Zprise.',inproceedings,Berkeley;TREC-like;ZPRISE;TREC;Boolean;WWW-based
conf_trec_SchuemieTK07,6,2007,http://trec.nist.gov/pubs/trec16/papers/utwente-erasmus-tno.geo.final.pdf,conf_trec_SchuemieTK07,TREC,'Cross_Language_Information_Retrieval_for_Biomedical_Literature.',inproceedings,HomoloGene;CLIR;DISEASES;Trieschnigg;UMLS;Biocreative
conf_trec_BosGC07,6,2007,http://trec.nist.gov/pubs/trec16/papers/urome.qa.final.pdf,conf_trec_BosGC07,TREC,"'The_Pronto_QA_System_at_TREC_2007:_Harvesting_Hyponyms,_Using_Nominalisation_Patterns,_and_Computing_Answer_Cardinality.'",inproceedings,NomLex;Pronto;WordNet;Blog06;TREC;Indri
conf_trec_LiuYCCLX11,6,2011,http://trec.nist.gov/pubs/trec20/papers/ICTNET.entity.pdf,conf_trec_LiuYCCLX11,TREC,'ICTNET_at_Entity_ELC_TREC_2011.',inproceedings,Sindice-DE;ClueWeb;Sindice-2011;Sindice;Sindice-ED;URIs
conf_trec_OunisMRMS06,6,2006,http://trec.nist.gov/pubs/trec15/papers/BLOG06.OVERVIEW.pdf,conf_trec_OunisMRMS06,TREC,'Overview_of_the_TREC_2006_Blog_Track.',inproceedings,Blogs06;Skype;Blog06;BuzzMetrics;TREC;Japan
conf_trec_GarbaceaK15,6,2015,http://trec.nist.gov/pubs/trec24/papers/UvA.ILPS-TS.pdf,conf_trec_GarbaceaK15,TREC,'The_University_of_Amsterdam_(ILPS.UvA)_at_TREC_2015_Temporal_Summarization_Track.',inproceedings,LexRank;ElasticSearch;StreamCorpus;StreamItem;TREC;SRILM
conf_trec_GurulingappaMHFGH11a,6,2011,http://trec.nist.gov/pubs/trec20/papers/Fraunhofer-SCAI.med.update.pdf,conf_trec_GurulingappaMHFGH11a,TREC,'A_Semantic_Platform_for_Information_Retrieval_from_E-Health_Records.',inproceedings,TRECMED;ConText;SemRep;ProMiner;UMLS;MetaMap
conf_trec_ZhangHHL11,6,2011,http://trec.nist.gov/pubs/trec20/papers/GUCAS.microblog.update.pdf,conf_trec_ZhangHHL11,TREC,'GUCAS_at_TREC_2011_Microblog_Track.',inproceedings,TREC-formatted;DOCNO;Twitter;DFRee;Poisson;PL2F
conf_trec_SchijvenaarsSMWJMKK05,6,2005,http://trec.nist.gov/pubs/trec14/papers/erasmus-tno.geo.pdf,conf_trec_SchijvenaarsSMWJMKK05,TREC,'TREC_2005_Genomics_Track_A_Concept-Based_Approach_to_Text_Categorization.',inproceedings,CCVpos;MeSH;Collexis;TREC;CCVneg;UMLS
conf_trec_LeeSJTL10,6,2010,http://trec.nist.gov/pubs/trec19/papers/pohang.univ.s-t.blog.rev.pdf,conf_trec_LeeSJTL10,TREC,'TREC_2010_Blog_Track:_Top_Stories_Identification.',inproceedings,SPORTS;WORLD;TREC;DiffPost;Blogs08;TRC2
conf_trec_LuJLHZ07,6,2007,http://trec.nist.gov/pubs/trec16/papers/uiuc-lu.geo.final.pdf,conf_trec_LuJLHZ07,TREC,'Language_Models_for_Genomics_Information_Retrieval:_UIUC_at_TREC_2007_Genomics_Track.',inproceedings,Dirichlet;Lemur;UIUCconj;UIUCsyn;KL-Divergence;UIUCrelfb
conf_trec_MaheshKD99,6,1999,http://trec.nist.gov/pubs/trec8/papers/orcl99man.pdf,conf_trec_MaheshKD99,TREC,'Oracle_at_Trec8:_A_Lexical_Approach.',inproceedings,ABOUT;Trec;MINUS;ACCUMULATE;DTDs;Oracle
conf_trec_DemeesterTNH13,6,2013,http://trec.nist.gov/pubs/trec22/papers/FEDERATED.OVERVIEW.pdf,conf_trec_DemeesterTNH13,TREC,'Overview_of_the_TREC_2013_Federated_Web_Search_Track.',inproceedings,BM25;NovaSearch;TREC;Google;SearchResultFinder;FedWeb
conf_trec_SmallLAKKPTT11,6,2011,http://trec.nist.gov/pubs/trec20/papers/SienaCLTeam.microblog.pdf,conf_trec_SmallLAKKPTT11,TREC,'10_Weeks_to_TREC:_STIRS_Siena's_Twitter_Information_Retrieval_System.',inproceedings,Lucene;STIRS;WordNet;TREC;TREC-format;Google
conf_vldb_LuL00,6,2000,http://www.vldb.org/conf/2000/P373.pdf,conf_vldb_LuL00,VLDB,'Decision_Tables:_Scalable_Classification_Exploring_RDBMS_Capabilities.',inproceedings,insurance.risk;PrunDTable;RDBMS;BestSplitAttr;RelevantAttrs;ROLLUP
conf_vldb_JainDZKMY07,6,2007,http://www.vldb.org/conf/2007/papers/research/p962-jain.pdf,conf_vldb_JainDZKMY07,VLDB,'STAR:_Self-Tuning_Aggregation_for_Scalable_Monitoring.',inproceedings,AIRoot;AccLoadFactor;PRISM;SDIMS;AccChargev;Tcurr
