paper_id,number_occurances,weighted_occurances
conf_trec_hehbvc11,68,93
conf_trec_evanssrbssmht02,68,92
conf_trec_niehxlzj15,67,92
conf_trec_almquistmhs08,67,92
conf_trec_hershb03,67,92
conf_trec_ounismrms06,67,92
conf_trec_doucsmsw09,67,92
conf_trec_mollaz05,67,92
conf_trec_wuwskl11,67,92
conf_jcdl_hunterc04,66,92
conf_sigir_foxfsdc93,66,92
conf_ercimdl_noordermeer97,66,92
conf_esws_khalilian14,66,92
conf_esws_langeidbska12,66,92
conf_esws_tiddidm14,66,91
conf_vldb_browns95,66,91
conf_vldb_lingatcr88,66,90
conf_vldb_nagarajanap04,66,90
conf_vldb_jermainedpj05,66,90
conf_trec_kimbkr00,66,90
conf_trec_moldovanbt06,66,90
conf_trec_yangdghw10,66,90
conf_trec_anhm04,66,89
conf_trec_leonardzltcd10,66,89
conf_trec_kwokd07,66,89
conf_trec_qil12,66,89
conf_trec_morton99,66,89
conf_trec_schijvenaarssmwjmkk05,66,89
conf_trec_0001w12,65,89
conf_trec_fallennm08,65,89
conf_trec_larockmrls14,65,89
conf_trec_liangqhfy12,64,88
conf_trec_harabagiumcbhw05,64,88
conf_trec_mccabehacgf99,64,88
conf_trec_adamsinnapsdjllnnstgsaz02,64,88
conf_vldb_lyngbaekm83,64,88
conf_trec_litkowski00,64,88
conf_trec_kaisserb04,64,87
conf_trec_aronsonhiklmstwxdl04,64,87
conf_trec_diekemalcwmyl00,64,87
conf_trec_yeungcclt03,64,86
conf_trec_hershcrr06,64,86
conf_trec_jaleelcllwa03,64,86
conf_trec_yangm99,64,86
conf_ercimdl_hunter98,63,86
conf_ercimdl_berndm97,63,86
conf_esws_taocpg09,63,86
conf_esws_halpinb15,63,86
conf_esws_juppbs09,63,86
conf_esws_hartmannbpg06,63,86
conf_vldb_zhangb07,63,85
conf_trec_nakll02,63,85
conf_trec_yuaglnnstwzb05,63,85
conf_trec_grossmancho11,63,84
conf_trec_gaizauskasghrs04,63,84
conf_trec_hornpgl11,63,84
conf_trec_geller05,63,84
conf_trec_bagdourio15,63,84
conf_www_guhamm03,62,84
conf_vldb_kim93,62,84
conf_trec_zaragozactsr04,62,84
conf_trec_xuw00,62,84
conf_trec_fujita04,62,83
conf_trec_leesljclkckakk01,62,83
conf_trec_darwisho02,62,83
conf_trec_garronk10,62,83
conf_trec_attardicfst01,61,83
conf_trec_schlaefergs06,61,83
conf_trec_kimyc12,61,82
conf_trec_jinzx03,61,82
conf_trec_greenwoodrg02,61,82
conf_trec_monzkr02,61,82
conf_trec_kwokgdc01,61,81
conf_trec_taoah11,61,81
conf_trec_boytsovb11,61,81
conf_trec_shigps05,61,81
conf_trec_kapteinkk09,61,80
conf_trec_robertsons02,61,80
conf_trec_liuscb11,61,80
conf_trec_razmarafk07,61,80
conf_trec_buckleyw99,61,80
conf_trec_wanggw06,61,80
conf_trec_ippolitosmgss15,61,80
conf_jcdl_songsao06,60,79
conf_jcdl_strodlmsr08,60,79
conf_jcdl_krafftbc08,60,78
conf_jcdl_manguinhasfb10,60,78
conf_sigir_korc07,60,78
conf_ercimdl_payettel00,60,78
conf_esws_scott14,60,78
conf_esws_hausenblashrfa09,60,78
conf_esws_zhaoks08,60,78
conf_esws_mollerbb06,60,76
conf_esws_morbidonippst08,60,75
conf_esws_heyvaertdhvsmw16,60,75
conf_esws_krieger15,60,75
conf_esws_brauerl08,60,75
conf_esws_viljanenth09,60,75
conf_vldb_cerifp99,60,75
conf_vldb_yuj07,60,75
conf_trec_schoneccmms06,60,75
conf_trec_suwailehhte15,60,74
conf_trec_hershtsopck00,60,74
conf_trec_braschlerksk99,60,74
conf_trec_gaonzxszh00,60,74
conf_trec_katzbffhkllmmu04,59,72
conf_trec_mayfieldmcpb01,59,72
