paper_id,number_occurances,weighted_occurances
conf_icse_holmesm05,13,13
conf_icse_leecr11,13,13
conf_icse_dangk99,13,13
conf_icse_alrajehlkru16,13,13
conf_vldb_ozsoyogluaaouo02,13,13
conf_vldb_guravannavarrs05,13,13
conf_vldb_kiessling85,13,13
conf_vldb_wangm90,13,13
conf_vldb_browns95,13,13
conf_vldb_madhavanbr01,13,13
conf_vldb_pukh88,13,13
conf_vldb_huss07,13,13
conf_vldb_lingatnr87,13,13
conf_vldb_koch03,13,13
conf_vldb_huangjr97,13,13
conf_vldb_whangn87,13,13
conf_vldb_boralr85,13,13
conf_vldb_seshadrilr96,13,13
conf_jcdl_sandersonass11,12,12
conf_jcdl_yanl07,12,12
conf_jcdl_muir01,12,12
conf_jcdl_bartoncj05,12,12
conf_jcdl_holzmannga16,12,12
conf_sigir_foxfsdc93,12,12
conf_sigir_qumsiyehn12,12,12
conf_sigir_niuglc12,12,12
conf_sigir_zhangzyzzkwh16,12,12
conf_sigir_liuscnw12,12,12
conf_ercimdl_canoslmb08,12,12
conf_ercimdl_wegner00a,12,12
conf_ercimdl_radevbzr01,12,12
conf_ercimdl_raghavanvsgff05,12,12
conf_trec_collins-thompsonozc02,12,12
conf_trec_hershcrr07,12,12
conf_trec_tomlinsonb00,12,12
conf_trec_demner-fushmanhilmrrswa07,12,12
conf_trec_arampatziskkn07,12,12
conf_trec_shigps05,12,12
conf_trec_fallennm08,12,12
conf_trec_ahnbknwc05,12,12
conf_trec_hicklwbrsr06,12,12
conf_trec_nybergfmbhhkllps05,12,12
conf_trec_dean-hallcsktv13,12,12
conf_trec_aronsonhiklmstwxdl04,12,12
conf_trec_zhaoll07,12,12
conf_esws_scott14,12,12
conf_esws_osenberglb15,12,12
conf_esws_kampgenwowh14,12,12
conf_esws_valletfc05,12,12
conf_esws_kontokostasmdel16,12,12
conf_esws_bruggemannbxk16,12,12
conf_www_priyatnacs14,12,12
conf_www_jinsmh10,12,12
conf_www_filliesww02,12,12
conf_www_sunmhysy16,12,12
conf_www_grosofp03,12,12
conf_www_yingsv16,12,12
conf_www_czeskismkw13,12,12
conf_www_wangyh09,12,12
conf_www_georgievjs15,12,12
conf_www_nikiforakisjl15,12,12
conf_www_subramanianm01,12,12
conf_www_zhouii04,12,12
conf_www_lukoseats03,12,12
conf_www_jinvl08,12,12
conf_www_seidenbergr06,12,12
conf_www_betin-canbf05,12,12
conf_www_christophidespst03,12,12
conf_www_pasternackr13,12,12
conf_www_ngomobulg13,12,12
conf_www_lamr04,12,12
conf_www_guhamm03,12,12
conf_icse_hendersonw85,12,12
conf_icse_clemmenseno84,12,12
conf_icse_bracketteht79,12,12
conf_icse_dongllw04,12,12
conf_icse_hatcliffddjr03,12,12
conf_icse_yusr14,12,12
conf_icse_storeyrbms08,12,12
conf_icse_okurhdd14,12,12
conf_icse_almesbbw84,12,12
conf_icse_galensonrbhs14,12,12
conf_icse_dagenaisr08,12,12
conf_icse_lamsweerde00,12,12
conf_icse_scherlhkh08,12,12
conf_icse_lilgh16,12,12
conf_icse_grechanikxf09,12,12
conf_icse_weinsbergb02,12,12
conf_vldb_diaof03,12,12
conf_vldb_derosescdr07,12,12
conf_vldb_gehrkerg98,12,12
conf_vldb_lingatcr88,12,12
conf_vldb_meopc96,12,12
conf_vldb_bainabptrrh04,12,12
conf_vldb_konopnickis95,12,12
conf_vldb_didriksengd95,12,12
conf_vldb_mehtad95,12,12
conf_vldb_rezendeh98,12,12
conf_vldb_simonkm92,12,12
conf_vldb_sullivans91,12,12
conf_jcdl_marisah01,11,11
conf_jcdl_wittenb07,11,11
conf_sigir_pragerbcr00,11,11
conf_sigir_veerasamyh97,11,11
conf_sigir_sunsl11,11,11
conf_sigir_zhouxzy08,11,11
conf_sigir_mehtan08,11,11
conf_sigir_eickhoffvc13,11,11
conf_sigir_helmern15,11,11
conf_sigir_arroyuelogos13,11,11
conf_sigir_xueyzyc05,11,11
conf_ercimdl_kapoorbmfsk07,11,11
conf_ercimdl_goncalveslsaf02,11,11
conf_trec_kanoulashccs11,11,11
conf_trec_voorhees02,11,11
conf_trec_voorhees03,11,11
conf_trec_wangh11,11,11
conf_trec_soboroff04,11,11
conf_trec_divolihns06,11,11
conf_trec_srikanthrs03,11,11
conf_trec_billerbeckcclwwyz04,11,11
conf_trec_wangsll13,11,11
conf_trec_zhailhvwfsl05,11,11
conf_trec_huwmv15,11,11
conf_trec_araujoghbv12,11,11
conf_trec_chu-carrolladgmphw06,11,11
conf_icwsm_yangyvzk07,11,11
conf_esws_valleccevkrvgzm07,11,11
